trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.001, 'e': 0.967538559589032}",20,0,-112.21909616026427,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.001, 'e': 0.9665715046375066}",20,0,-160.12349013116952,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
36,False,"{'a': 0.001, 'e': 0.9656054162575665}",30,0,-154.16432958542316,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
37,False,"{'a': 0.001, 'e': 0.9646402934831231}",35,0,-133.0515107282658,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.001, 'e': 0.9636761353490535}",25,0,-113.76964909493341,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
39,False,"{'a': 0.001, 'e': 0.9627129408911995}",30,0,-92.09338540819316,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.001, 'e': 0.9617507091463667}",20,0,-180.84949661385616,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
41,False,"{'a': 0.001, 'e': 0.9607894391523232}",25,0,-112.54570778792159,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",25,14,-36.98695980781666,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",20,0,-79.31503201206395,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",25,0,-183.67683654144653,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,9,-102.02809544238063,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 2}",1
46,False,"{'a': 0.001, 'e': 0.9559974818331}",20,0,-130.3250271267335,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",25,6,-87.20689595809817,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",20,6,-41.5400751211795,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",30,12,-48.00931999656234,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 0}",1
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",25,6,-55.87068397920039,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 0}",1
51,False,"{'a': 0.001, 'e': 0.951229424500714}",30,14,-32.822679060308175,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.001, 'e': 0.950278670532427}",20,0,-130.2005959878704,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",25,0,-119.68644222865821,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",20,0,-205.12611323979496,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",20,0,-16.393177684579122,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",20,0,-41.09152066165089,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",30,0,-57.96546550667019,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",20,3,-11.72093092202207,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",20,0,-150.97240054950296,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",25,0,-180.61197758348766,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",30,10,-167.737426382853,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",1
